Teho (kW);Määrä;Pistoke;Latauspiste nro;Osoite;X;Y;Hallinnoija_fi;Hallinnoija_sv;Hallinnoija_en;Latauskohde;Maksu;Sähköhinta (€/kWh);Tuntihinta (€/h);Käyttötapa;Tieto hankittu;Tiedot päivitetty ;Muuta
22;2;Type 2;8;Vallihaudankatu 1;23457649;6703032;Aimopark;Aimopark;Aimopark;Julkinen;Sisältyy hintaan;;;P-paikan hintaan;;12.5.2022;
22;2;Type 2;13;Yliopistonkatu 29;23459269;6704538;Aimopark;Aimopark;Aimopark;Julkinen;Sisältyy hintaan;;;P-paikan hintaan;;12.5.2022;
22;1;Type 2;13;Yliopistonkatu 29;23459349;6704540;Aimopark;Aimopark;Aimopark;Julkinen;Sisältyy hintaan;;;;;12.5.2022;
22;2;Type 2;14;Kristiinankatu 11;23459447;6704486;Aimopark;Aimopark;Aimopark;Julkinen;Sisältyy hintaan;;;P-paikan hintaan;;12.5.2022;
22;10;Type 2;16;Läntinenpitkäkatu 12b;23459314;6704978;Aimopark;Aimopark;Aimopark;Julkinen;Sisältyy hintaan;;;P-paikan hintaan;;12.5.2022;
4;8;Type 2;26;Untamonkatu;23461382;6704213;Aimopark;Aimopark;Aimopark;Julkinen;Sisältyy hintaan;;;P-paikan hintaan;;12.5.2022;
22;2;Type 2;40;Brahenkatu 3;23459987;6704688;Aimopark;Aimopark;Aimopark;Julkinen;Sisältyy hintaan;;;P-paikan hintaan;;12.5.2022;
22;2;Type 2;39;Korinpunojankatu 1;23457739;6710364;AL-autopalvelukeskus;AL-autopalvelukeskus;AL-autopalvelukeskus;Asiakas/suljettu;Maksullinen;;;Virta app;;12.5.2022;
22;2;Type 2;7;Juhana Hertuan Puistokatu 21;23457433;6703384;Auriga Business Center;Auriga Business Center;Auriga Business Center;Asiakas/julkinen;Maksullinen;;;Virta app;;12.5.2022;
22;1;Tesla;28;Tierankatu 7;23462381;6703870;Autoklinikka;Autoklinikka;Autoklinikka;Asiakas/julkinen;Maksullinen;;;Tesla;;12.5.2022;
22;14;Type 2;58;Länsi-Avantintie 2;23465962;6706495;DB Schenker;DB Schenker;DB Schenker;Julkinen;Maksullinen;;;Virta app;;12.5.2022;
22;2;Type 2;38;Lentoasemantie 150;23460158;6711226;Finavia;Finavia;Finavia;Asiakas/julkinen;Maksullinen;;;Virta app;;12.5.2022;
22;10;Type 2;43;Aviatie 2;23460479;6709908;Finnish design shop Showroom;Finnish design shop Showroom;Finnish design shop Showroom;Julkinen;Maksullinen;;;Virta app;;12.5.2022;
