PaikkaNimi;Varaustyyppi;Kohdetyyppi;PaakohdeNimi;VarauksenTila;TuoreimmanVarauksenPaatymisaikaUtc;Varaustapa;Varattavissa;HintaAlv0;HintaAlv%;Aktiivinen;KeskipisteP;KeskipisteI
Aurajoki Airisto;Aurajoki laituripaikat;Aurajoki Airisto;Satama: Aurajoki;Paattynyt;2021-12-31 07:00:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;1122.0000;24.00;1;6703837.1820514333;23458955.033166487
Aurajoki Airisto - talvi;Aurajoki laituripaikat - talvikausi;Aurajoki Airisto - talvi;Satama: Aurajoki - talvi;Paattynyt;2022-05-31 20:00:00.000;1 - Vain kasittelija;Ei - varauskausi ei voimassa;814.0000;24.00;1;NULL;NULL
Aurajoki Anna Duuni;Aurajoki laituripaikat;Aurajoki Anna Duuni;Satama: Aurajoki;Paattynyt;2021-12-31 07:00:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;559.0000;24.00;1;6703780.7000203608;23459014.68847942
Aurajoki Anya;Aurajoki laituripaikat;Aurajoki Anya;Satama: Aurajoki;Paattynyt;2021-12-31 07:00:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;989.0000;24.00;1;6702987.0560289863;23458076.704189617
Aurajoki Anya - talvi;Aurajoki laituripaikat - talvikausi;Aurajoki Anya - talvi;Satama: Aurajoki - talvi;Paattynyt;2022-05-31 20:00:00.000;1 - Vain kasittelija;Ei - varauskausi ei voimassa;851.0000;24.00;1;NULL;NULL
Aurajoki Blue Nose;Aurajoki laituripaikat;Aurajoki Blue Nose;Satama: Aurajoki;Paattynyt;2021-12-31 07:00:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;516.0000;24.00;1;6703591.8016777681;23458783.526351862
Aurajoki Bon Marin;Aurajoki laituripaikat;Aurajoki Bon Marin;Satama: Aurajoki;Paattynyt;2021-12-31 07:00:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;969.0000;24.00;1;NULL;NULL
Aurajoki Dolphin;Aurajoki laituripaikat;Aurajoki Doplhin;Satama: Aurajoki;Paattynyt;2021-12-31 07:00:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;602.0000;24.00;1;6703731.810125933;23458938.15819231
Aurajoki Famnen;Aurajoki laituripaikat;Aurajoki Famnen;Satama: Aurajoki;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;1326.0000;24.00;1;6703622.2563181957;23458711.131554171
Aurajoki Famnen - talvi;Aurajoki laituripaikat - talvikausi;Aurajoki Famnen - talvi;Satama: Aurajoki - talvi;Paattynyt;2022-05-31 20:00:00.000;1 - Vain kasittelija;Ei - varauskausi ei voimassa;962.0000;24.00;1;NULL;NULL
Aurajoki Kökar;Aurajoki laituripaikat;Aurajoki Kökar;Satama: Aurajoki;Paattynyt;2021-12-31 07:00:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;1938.0000;24.00;1;NULL;NULL
Aurajoki Kökar - talvi;Aurajoki laituripaikat - talvikausi;Aurajoki Kökar - talvi;Satama: Aurajoki - talvi;Paattynyt;2022-05-31 20:00:00.000;1 - Vain kasittelija;Ei - varauskausi ei voimassa;1406.0000;24.00;1;NULL;NULL
Aurajoki Laura;Aurajoki laituripaikat;Aurajoki Laura;Satama: Aurajoki;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;612.0000;24.00;1;NULL;NULL
Aurajoki Lily;Aurajoki laituripaikat;Aurajoki Lily;Satama: Aurajoki;Paattynyt;2021-12-31 07:00:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;1836.0000;24.00;1;6703741.7383503485;23458836.462269057
Aurajoki Lily - talvi;Aurajoki laituripaikat - talvikausi;Aurajoki Lily - talvi;Satama: Aurajoki - talvi;Paattynyt;2021-10-20 09:03:30.247;2 - Ei varattavissa;Ei - varauskausi ei voimassa;1332.0000;24.00;1;NULL;NULL
Aurajoki Mariangela P-48583;Aurajoki laituripaikat;Aurajoki Mariangela P-48583;Satama: Aurajoki;Paattynyt;2021-12-31 07:00:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;817.0000;24.00;1;6703632.5098430794;23458824.823985953
Aurajoki Mariangela P-48583 - talvi;Aurajoki laituripaikat - talvikausi;Aurajoki Mariangela P-48583 - talvi;Satama: Aurajoki - talvi;Paattynyt;2022-05-31 20:00:00.000;1 - Vain kasittelija;Ei - varauskausi ei voimassa;703.0000;24.00;1;NULL;NULL
Aurajoki Marina;Aurajoki laituripaikat;Aurajoki Marina;Satama: Aurajoki;Paattynyt;2022-03-22 20:11:59.000;0 - Julkisesti;Ei - varauskausi ei voimassa;561.0000;24.00;1;NULL;NULL
Aurajoki Ms Jaarli;Aurajoki laituripaikat;Aurajoki Ms Jaarli;Satama: Aurajoki;Paattynyt;2021-12-31 07:00:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;969.0000;24.00;1;NULL;NULL
Aurajoki Ms Jaarli - talvi;Aurajoki laituripaikat - talvikausi;Aurajoki Ms Jaarli - talvi;Satama: Aurajoki - talvi;Paattynyt;2022-05-31 20:00:00.000;1 - Vain kasittelija;Ei - varauskausi ei voimassa;703.0000;24.00;1;NULL;NULL
Aurajoki Nicke;Aurajoki laituripaikat;Aurajoki Nicke;Satama: Aurajoki;Paattynyt;2021-12-31 07:00:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;602.0000;24.00;1;6703030.5646792762;23458105.441767164
Aurajoki Nicke - talvi;Aurajoki laituripaikat - talvikausi;Aurajoki Nicke - talvi;Satama: Aurajoki - talvi;Paattynyt;2022-05-31 20:00:00.000;1 - Vain kasittelija;Ei - varauskausi ei voimassa;518.0000;24.00;1;NULL;NULL
Aurajoki Norrskär;Aurajoki laituripaikat;Aurajoki Norrskär;Satama: Aurajoki;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;918.0000;24.00;1;6703671.2259667255;23458763.165265065
Aurajoki Norrskär - talvi;Aurajoki laituripaikat - talvikausi;Aurajoki Norrskär - talvi;Satama: Aurajoki - talvi;Paattynyt;2022-05-31 20:00:00.000;1 - Vain kasittelija;Ei - varauskausi ei voimassa;666.0000;24.00;1;NULL;NULL
Aurajoki Outoori;Aurajoki laituripaikat;Aurajoki Outoori;Satama: Aurajoki;Paattynyt;2021-12-31 07:00:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;817.0000;24.00;1;6703203.7433351148;23458389.887078259
Aurajoki Outoori - talvi;Aurajoki laituripaikat - talvikausi;Aurajoki Outoori - talvi;Satama: Aurajoki - talvi;Paattynyt;2022-05-31 20:00:00.000;1 - Vain kasittelija;Ei - varauskausi ei voimassa;703.0000;24.00;1;NULL;NULL
Aurajoki Polar Cruiser;Aurajoki laituripaikat;Aurajoki Polar Cruiser;Satama: Aurajoki;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;860.0000;24.00;1;6703611.9322215132;23458803.853920583
Aurajoki Polar Cruiser - talvi;Aurajoki laituripaikat - talvikausi;Aurajoki Polar Cruiser - talvi;Satama: Aurajoki - talvi;Paattynyt;2022-05-31 20:00:00.000;1 - Vain kasittelija;Ei - varauskausi ei voimassa;740.0000;24.00;1;NULL;NULL
Aurajoki Rosita;Aurajoki laituripaikat;Aurajoki Rosita;Satama: Aurajoki;Paattynyt;2021-12-31 07:00:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;1224.0000;24.00;1;NULL;NULL
Aurajoki Rosita - talvi;Aurajoki laituripaikat - talvikausi;Aurajoki Rosita - talvi;Satama: Aurajoki - talvi;Paattynyt;2022-05-31 20:00:00.000;1 - Vain kasittelija;Ei - varauskausi ei voimassa;888.0000;24.00;1;NULL;NULL
Aurajoki Rudolfina;Aurajoki laituripaikat - talvikausi;Aurajoki Rudolfina - talvi;Satama: Aurajoki - talvi;Paattynyt;2022-05-31 20:00:00.000;1 - Vain kasittelija;Ei - varauskausi ei voimassa;1050.0000;24.00;1;NULL;NULL
Aurajoki Rudolfina;Aurajoki laituripaikat;Aurajoki Rudolfina;Satama: Aurajoki;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;1530.0000;24.00;1;6703700.1555126058;23458791.633580361
Aurajoki Ruissalolautta;Aurajoki laituripaikat;Aurajoki Ruissalolautta;Satama: Aurajoki;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;765.0000;24.00;1;NULL;NULL
Aurajoki Ruissalolautta - talvi;Aurajoki laituripaikat - talvikausi;Aurajoki Ruissalolautta - talvi;Satama: Aurajoki - talvi;Paattynyt;2022-05-31 20:00:00.000;1 - Vain kasittelija;Ei - varauskausi ei voimassa;555.0000;24.00;1;NULL;NULL
Aurajoki Solida;Aurajoki laituripaikat;Aurajoki Solida;Satama: Aurajoki;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;559.0000;24.00;1;6703748.0847711321;23458963.366142038
Aurajoki Tavi;Aurajoki laituripaikat;Aurajoki Tavi;Satama: Aurajoki;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;1247.0000;24.00;1;6703553.4587575942;23458743.30982963
Aurajoki Tavi - talvi;Aurajoki laituripaikat - talvikausi;Aurajoki Tavi - talvi;Satama: Aurajoki - talvi;Paattynyt;2022-05-31 20:00:00.000;1 - Vain kasittelija;Ei - varauskausi ei voimassa;1073.0000;24.00;1;NULL;NULL
Aurajoki Tolvan;Aurajoki laituripaikat;Aurajoki Tolvan;Satama: Aurajoki;Paattynyt;2021-12-31 07:00:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;903.0000;24.00;1;6703221.4417323004;23458408.369832929
Aurajoki Tolvan - talvi;Aurajoki laituripaikat - talvikausi;Aurajoki Tolvan - talvi;Satama: Aurajoki - talvi;Paattynyt;2022-05-31 20:00:00.000;1 - Vain kasittelija;Ei - varauskausi ei voimassa;777.0000;24.00;1;NULL;NULL
Aurajoki Ukkopekka;Aurajoki laituripaikat;Aurajoki Ukkopekka;Satama: Aurajoki;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;1734.0000;24.00;1;6703814.8269651383;23458924.838447731
Aurajoki Ukkopekka - talvi;Aurajoki laituripaikat - talvikausi;Aurajoki Ukkopekka - talvi;Satama: Aurajoki - talvi;Paattynyt;2022-05-31 20:00:00.000;1 - Vain kasittelija;Ei - varauskausi ei voimassa;1258.0000;24.00;1;NULL;NULL
Aurajoki Zaida;Aurajoki laituripaikat;Aurajoki Zaida;Satama: Aurajoki;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;860.0000;24.00;1;NULL;NULL
Aurajoki Zaida - talvi;Aurajoki laituripaikat - talvikausi;Aurajoki Zaida - talvi;Satama: Aurajoki - talvi;Paattynyt;2022-05-31 20:00:00.000;1 - Vain kasittelija;Ei - varauskausi ei voimassa;740.0000;24.00;1;NULL;NULL
Bore001;Venepaikat;Takapaalupaikka 4.1x8 m;Satama: Bore;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703949.3308382649;23459158.277382523
Bore002;Venepaikat;Takapaalupaikka 4.1x8 m;Satama: Bore;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703951.4663227219;23459162.238433443
Bore003;Venepaikat;Takapaalupaikka 4.1x8 m;Satama: Bore;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703953.6018772777;23459166.199366558
Bore004;Venepaikat;Takapaalupaikka 4.1x8 m;Satama: Bore;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703955.7374499999;23459170.160350002
Bore005;Venepaikat;Takapaalupaikka 4.1x8 m;Satama: Bore;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703957.8730500005;23459174.121350002
Bore006;Venepaikat;Takapaalupaikka 4.1x8 m;Satama: Bore;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703960.0087444792;23459178.082780827
Bore007;Venepaikat;Takapaalupaikka 4.6x8 m;Satama: Bore;Voimassa;2022-12-31 07:00:00.000;1 - Vain kasittelija;Ei - toinen varaus voimassa;201.6100;24.00;1;6703962.2633091565;23459182.264167253
Bore008;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Bore;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703964.2802360645;23459186.005134478
Bore009;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Bore;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703965.9412844796;23459189.085898537
Bore010;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Bore;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703967.6023000004;23459192.166650001
